涤氨纶弹力印花布,针织面料>>汗布>>高弹尼龙氨纶汗布
涤麻,麻类面料>>麻料混纺
烂花面料,棉类面料>>其他棉纺>>烂花
烟花绒,呢料毛纺面料>>绒布>>长毛绒
烫金皮革,皮革/皮草>>皮革>>皮革烫金
牙签条,棉类面料>>条子布 棉类面料>>衬衫布
牛仔布印花,针织面料>>针织牛仔 棉类面料>>牛仔布
牛奶丝印花,针织面料>>其他针织面料>>牛奶丝
特密纱,蕾丝/绣品>>网纱
玉米格,针织面料>>针织提花>>玉米粒
玛海绒,呢料毛纺面料>>绒布>>仿羊绒 呢料毛纺面料>>绒布>>金貂绒
珍珠雪纺,化纤面料>>雪纺
珠地布,针织面料>>珠地>>珠地
珠帆,棉类面料>>其他棉纺>>帆布
直弹印花布,棉类面料>>弹力布
真丝,丝绸/真丝面料>>真丝面料
真丝乔绒,丝绸/真丝面料>>丝绒
真丝印花,丝绸/真丝面料>>真丝面料
真丝绉,丝绸/真丝面料>>真丝面料
真丝绒,丝绸/真丝面料>>丝绒
真丝缎,丝绸/真丝面料>>真丝面料
真丝麻,麻类面料>>麻料混纺
真丝麻印花,化纤面料>>雪纺
真记忆布,化纤面料>>羽绒服、棉服面料
破卡布,棉类面料>>破卡>>破卡
磨毛印花布,针织面料>>拉毛布>>磨毛布 针织面料>>其他针织面料>>针织印花布
磨毛斜纹布,针织面料>>拉毛布 棉类面料>>斜纹布
磨毛牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
竹节丝弹力布,化纤面料>>其他涤纶面料
竹节呢,呢料毛纺面料>>其他呢料
竹节布,针织面料>>针织牛仔>>竹节牛仔 针织面料>>汗布>>竹节汗布 针织面料>>粗针>>粗针竹节 针织面料>>其他针织面料>>针织竹节
竹节斜纹,针织面料>>针织牛仔>>竹节牛仔 针织面料>>汗布>>竹节汗布 针织面料>>粗针>>粗针竹节 针织面料>>其他针织面料>>针织竹节
竹节棉,棉类面料>>棉布
竹节毛圈布,针织面料>>卫衣布>>毛圈布
竹节麻,麻类面料>>其他麻纺面料>>麻料
箱包布,其他面料>>箱包、鞋材料>>箱包材料
箱包料,其他面料>>箱包、鞋材料>>箱包材料
