平绣>>蕾丝/绣品,蕾丝绣品>>蕾丝绣花
幻彩纱>>梭织类,化纤面料>>其他化纤面料
府绸>>梭织类,棉类面料>>平纹布
开口笑>>针织类,针织面料>>其他针织面料
弹力布>>针织类,针织面料>>弹力布
弹力带>>辅料,辅料>>松紧带
弹力皮革>>皮革皮草,皮革皮草>>皮革
弹力绉>>梭织类,化纤面料>>弹力绉
弹力绳>>辅料,辅料>>松紧带
弹力缎>>梭织类,丝绸⁄真丝面料>>弹力缎
强缩呢>>针织类,尼料毛纺面料>>针织毛呢
彩棉卫衣>>针织类,针织面料>>彩棉针织
彩棉汗布>>针织类,针织面料>>彩棉针织
彩棉针织>>针织类,针织面料>>彩棉针织
意大利纱>>梭织类,化纤面料>>雪纺 
手工花>>辅料,辅料>>服装饰品
手工钻>>辅料,辅料>>烫图、烫钻
打鸡布>>针织类,针织面料>>双面布
抗静电布>>其他面料,其他面料>>特种面料
抽针面料>>针织类,针织面料>>其他针织面料
拉架卫衣>>针织类,针织面料>>卫衣布
拉毛布>>针织类,针织面料>>拉毛布
拉链>>辅料,辅料>>拉链
拷扣>>辅料,辅料>>钮扣
拼接窗帘>>其他面料,其他面料>>窗帘面料
提花窗帘>>其他面料,其他面料>>窗帘面料
摇头扣>>辅料,辅料>>钮扣
摇粒绒>>针织类,尼料毛纺面料>>绒布
数码印花>>加工服务,加工服务>>印花
斜纹呢>>梭织类,尼料毛纺面料>>斜纹呢
斜纹布>>梭织类,棉类面料>>斜纹布
新沃呢>>梭织类,尼料毛纺面料>>其他呢料
无纺布>>其他面料,其他面料>>无纺布
无纺衬>>辅料,辅料>>衬布
日本绒>>针织类,尼料毛纺面料>>绒布
时尚呢>>梭织类,尼料毛纺面料>>其他呢料
时装呢>>针织类,尼料毛纺面料>>针织毛呢
星星呢>>梭织类,尼料毛纺面料>>其他呢料
春亚纺>>梭织类,化纤面料>>春亚纺
普通蕾丝>>蕾丝/绣品,蕾丝绣品>>普通蕾丝
服装加工>>加工服务,加工服务>>服装加工
服装革>>皮革皮草,皮革皮草>>皮革
条码>>蕾丝/绣品,蕾丝绣品>>花边
条码>>辅料,辅料>>吊粒、吊牌
松紧带>>辅料,辅料>>松紧带
校服系列>>针织类,针织面料>>其他针织面料
格子呢>>梭织类,尼料毛纺面料>>格子呢
格子布>>梭织类,棉类面料>>格子布
桃皮绒>>梭织类,化纤面料>>桃皮绒
梭织印花>>梭织类,棉类面料>>梭织印花
梭织提花>>梭织类,棉类面料>>梭织提花
梭织植绒>>梭织类,棉类面料>>梭织植绒
棉布>>梭织类,棉类面料>>棉布
棉布绣花>>蕾丝/绣品,蕾丝绣品>>棉布绣花
棉布绣花>>梭织类,蕾丝绣品>>棉布绣花
棉拉架印花布>>针织类,针织面料>>弹力布
棉拉架汗布>>针织类,针织面料>>汗布
棉毛布>>针织类,针织面料>>双面布
棉泡纱>>梭织类,棉类面料>>其他棉纺
棉绳>>辅料,辅料>>绳子类
植绒>>加工服务,加工服务>>植绒
植绒呢>>梭织类,尼料毛纺面料>>其他呢料
楼梯布>>针织类,针织面料>>双面布
横机罗纹>>针织类,针织面料>>罗纹
橡筋>>辅料,辅料>>松紧带
橡胶>>辅料,辅料>>拉链头
欧根纱>>梭织类,丝绸⁄真丝面料>>欧根纱
欧根纱>>蕾丝/绣品,丝绸⁄真丝面料>>欧根纱
段染汗布>>针织类,针织面料>>汗布
毛圈布>>针织类,针织面料>>卫衣布
毛巾布>>针织类,针织面料>>双面布
毛巾布>>梭织类,针织面料>>双面布
毛巾绣>>加工服务,加工服务>>毛巾绣
毛巾绣>>蕾丝/绣品,蕾丝绣品>>绣品
毛毡布>>其他面料,其他面料>>毛毡
毛球>>皮革皮草,皮革皮草>>皮毛
毛球>>辅料,辅料>>毛球
毛线>>辅料,辅料>>其他纺织辅料
毛线>>针织类,辅料>>其他纺织辅料
毛衣订做>>加工服务,加工服务>>毛衣订做
毛衫>>针织类,针织面料>>粗针
毛衫加工>>加工服务,加工服务>>毛衫加工
毛领>>皮革皮草,皮革皮草>>皮毛
气眼>>辅料,辅料>>服装饰品
气蒸绒>>针织类,尼料毛纺面料>>绒布
水晶呢>>梭织类,尼料毛纺面料>>其他呢料
水晶超柔>>针织类,尼料毛纺面料>>绒布
水洗>>加工服务,加工服务>>水洗
水洗皮>>皮革皮草,皮革皮草>>水洗皮
水浆印花>>加工服务,加工服务>>印花
水溶>>蕾丝/绣品,蕾丝绣品>>水溶
水貂绒>>针织类,尼料毛纺面料>>绒布
汗布>>针织类,针织面料>>汗布
汽车坐垫>>其他面料,其他面料>>汽车内饰材料
沙发布>>其他面料,其他面料>>家纺
法兰呢>>梭织类,尼料毛纺面料>>其他呢料
法莱呢>>梭织类,尼料毛纺面料>>其他呢料
泡泡布>>针织类,针织面料>>针织提花
泰迪绒>>针织类,尼料毛纺面料>>绒布
泳装布>>针织类,针织面料>>其他针织面料
活性印花>>加工服务,加工服务>>印花
流苏>>辅料,辅料>>流苏、穗
流苏蕾丝>>蕾丝/绣品,蕾丝绣品>>流苏蕾丝
海绵>>辅料,辅料>>纺织填充物
涂层>>加工服务,加工服务>>涂层
涂层布>>其他面料,其他面料>>特种面料
涤丝纺>>梭织类,化纤面料>>羽绒服、棉服面料
涤光丝>>蕾丝/绣品,蕾丝绣品>>涤光丝
涤塔夫>>梭织类,化纤面料>>羽绒服、棉服面料
涤氨面料>>针织类,针织面料>>弹力布
港花呢>>梭织类,尼料毛纺面料>>其他呢料
满幅(幅花)>>蕾丝/绣品,蕾丝绣品>>满幅(幅花)
滴塑>>加工服务,加工服务>>滴塑
滴塑加工厂>>加工服务,加工服务>>滴塑加工厂
澳贝绒>>梭织类,尼料毛纺面料>>其他毛呢面料
激光冲孔>>加工服务,加工服务>>激光冲孔
激光绣>>蕾丝/绣品,蕾丝绣品>>蕾丝绣花
灯芯绒>>梭织类,棉类面料>>灯芯绒
烂花>>加工服务,加工服务>>烧花
烤花呢>>梭织类,尼料毛纺面料>>其他毛纺面料
烧花>>加工服务,加工服务>>烧花
烧花蕾丝>>蕾丝/绣品,蕾丝绣品>>普通蕾丝
烫画>>辅料,加工服务>>烫画
烫画>>加工服务,加工服务>>烫画
烫金>>加工服务,加工服务>>烫金
烫金布>>针织类,针织面料>>其他针织面料
烫金布>>梭织类,针织面料>>其他针织面料
烫金蕾丝>>蕾丝/绣品,蕾丝绣品>>普通蕾丝
烫钻>>辅料,辅料>>烫图、烫钻
烫钻>>加工服务,加工服务>>烫钻
烫银布>>针织类,针织面料>>其他针织面料
牛仔布>>梭织类,棉类面料>>牛仔布
牛奶丝>>针织类,针织面料>>其他针织面料
牛奶丝绣花>>蕾丝/绣品,蕾丝绣品>>牛奶丝绣花
牛津布>>梭织类,化纤面料>>牛津纺
牛津纺>>梭织类,化纤面料>>牛津纺
牛皮>>皮革皮草,皮革皮草>>真皮
牛肚布>>针织类,针织面料>>针织提花
牛角扣>>辅料,辅料>>钮扣
特种面料>>其他面料,其他面料>>特种面料
狐狸毛>>皮革皮草,皮革皮草>>皮毛
猪皮>>皮革皮草,皮革皮草>>真皮
玉米粒>>针织类,针织面料>>针织提花
玲珑缎>>梭织类,化纤面料>>其他化纤面料
玲珑麻>>梭织类,麻类面料>>其他麻纺面料
玻璃纱>>梭织类,丝绸⁄真丝面料>>玻璃纱
玻璃纱>>蕾丝/绣品,丝绸⁄真丝面料>>玻璃纱
珊瑚绒>>针织类,尼料毛纺面料>>绒布
珠片绣>>辅料,辅料>>亮片
