经编布,针织面料>>其他针织面料>>其他经编布 针织面料>>汗布>>经编汗布
棉麻布,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
全棉斜纹布,棉类面料>>斜纹布
弹力纱卡,棉类面料>>纱卡
弹力斜纹,棉类面料>>弹力布
高弹赛络纺,棉类面料>>弹力布 棉类面料>>其他棉纺>>赛络纺
全棉平纹布,棉类面料>>平纹布
时装料,呢料毛纺面料>>针织毛呢>>时装呢
纬编布,无
平纹呢,化纤面料>>工装面料>>罗尔呢
泡泡纱,棉类面料>>其他棉纺>>棉泡纱 棉类面料>>其他棉纺>>泡泡布
天丝,针织面料>>其他针织面料>>天丝棉 棉类面料>>其他棉纺>>仿天丝 化纤面料>>其他粘胶(人棉)面料
色织棉麻,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力 麻类面料>>其他麻纺面料>>色织
丝光绒,呢料毛纺面料>>绒布>>韩国绒
羊羔毛,呢料毛纺面料>>羊绒 呢料毛纺面料>>绒布>>羊羔绒
马海绒,呢料毛纺面料>>其他毛纺面料>>马海毛
巴黎珠,化纤面料>>雪纺
齐乐绒,棉类面料>>灯芯绒
网纱印花,蕾丝/绣品>>网纱
珍珠雪纺,化纤面料>>雪纺
弹力细斜,棉类面料>>弹力布 棉类面料>>斜纹布
全棉磨毛布,棉类面料>>其他棉纺>>磨毛布
提花呢料,呢料毛纺面料>>粗纺>>粗纺提花 呢料毛纺面料>>其他呢料
拉绒布,针织面料>>拉毛布
台布口布,其他面料>>家纺
植绒革,皮革/皮革>>皮革>>植绒皮革
色织毛呢,呢料毛纺面料>>针织毛呢 呢料毛纺面料>>其他呢料
色纺,无
斜纹青年布,棉类面料>>工装面料>>工装面料
针织灯芯绒,棉类面料>>灯芯绒
双面斜,棉类面料>>斜纹布
棉布色织，,棉类面料>>条子布 棉类面料>>格子布 棉类面料>>衬衫布
民族布,棉类面料>>梭织提花
弹力贡缎,棉类面料>>弹力布 棉类面料>>缎纹>>贡缎
人字斜,棉类面料>>斜纹布
韩圈呢,呢料毛纺面料>>圈圈呢 呢料毛纺面料>>羊绒
韩泰呢,呢料毛纺面料>>粗纺
韩鑫呢,呢料毛纺面料>>粗纺 呢料毛纺面料>>羊绒
韩珠呢,呢料毛纺面料>>粗纺 针织面料>>空气层
幻灯丝,针织面料>>其他针织面料>>金银丝
极品绒,无
圈圈绒,呢料毛纺面料>>圈圈呢
仿羊毛,呢料毛纺面料>>绒布>>仿羊绒
条绒,棉类面料>>灯芯绒
毛皮提花,皮革/皮草>>皮毛
纤丝绒,棉类面料>>灯芯绒
水貂毛,皮革/皮草>>皮毛
小兔毛,皮革/皮草>>皮毛
平纹记忆布,化纤面料面料>>羽绒服、棉服面料
全尼龙布,化纤面料面料>>其他尼龙面料
剪毛绒,呢料毛纺面料>>绒布
海岛绒,呢料毛纺面料>>绒布>>银狐绒
