3D麻>>梭织类
珍珠雪纺>>梭织类
珠地布>>针织类
珠帆>>梭织类
直弹印花布>>梭织类
直绒>>梭织类
直贡>>梭织类
真丝>>针织类
真丝乔绒>>梭织类
真丝印花>>梭织类
真丝绉>>梭织类
真丝绒>>梭织类
真丝缎>>梭织类
真丝麻>>梭织类
真丝麻印花>>梭织类
真记忆布>>梭织类
破卡布>>梭织类
破斜>>梭织类
磨毛印花布>>梭织类
磨毛斜纹布>>梭织类
磨毛牛仔>>梭织类
竹节丝弹力布>>针织类
竹节呢>>梭织类
竹节布>>梭织类
竹节斜纹>>梭织类
竹节棉>>梭织类
竹节毛圈布>>针织类
竹节麻>>梭织类
箱包布>>梭织类
箱包料>>皮革皮草
箱包料>>其他面料
粗斜>>梭织类
粗纺呢绒>>梭织类
粗纺复合面料>>梭织类
粗针印花>>针织类
粗针提花>>针织类
粗针毛圈>>针织类
粗针罗纹>>针织类
粗针色织>>针织类
精纺毛料>>梭织类
素绉缎>>梭织类
纤丝绒>>其他面料
纬编布>>针织类
纬编毛绒>>针织类
纱布>>梭织类
纱罗布>>梭织类
纳米丝四面弹>>梭织类
纳米丝四面弹>>针织类
纳米丝色织布>>针织类
纳米皱>>梭织类
细斜>>梭织类
细斜印花布>>梭织类
细皱>>梭织类
织锦缎>>梭织类
绉花缎>>梭织类
经编布>>针织类
经编毛绒>>针织类
经编绒布>>针织类
经编里布>>针织类
绒感记忆布>>梭织类
绒雪纺>>梭织类
绣花布>>梭织类
绣花毛呢>>梭织类
绣花窗纱>>其他面料
绸缎>>梭织类
缎彩太空层>>针织类
缎彩空气层>>针织类
缎彩面料>>针织类
缎面印花>>梭织类
缎面雪纺>>梭织类
网格布>>梭织类
网眼太空层>>针织类
网纱印花>>梭织类
网纱提花>>梭织类
网纱烫金>>梭织类
羊剪毛>>辅料
羊剪绒>>针织类
羊圈呢>>针织类
羊毛呢>>梭织类
羊毛拉架>>针织类
羊睫毛>>梭织类
羊绒呢料>>梭织类
羊羔毛>>针织类
羊羔毛中球>>针织类
羊羔毛复合>>针织类
羊羔毛大球>>针织类
羊驼呢>>针织类
羊驼绒>>梭织类
羊驼绒>>针织类
美丽斜>>梭织类
肌理布>>梭织类
肌理棉>>梭织类
肌理麻>>梭织类
舒美绸>>梭织类
色丁布>>梭织类
色丁提花布>>梭织类
色拉姆>>针织类
色织条纹>>梭织类
色织条纹>>针织类
色织棉麻>>梭织类
色织毛呢>>梭织类
色织牛仔>>梭织类
色织罗纹>>针织类
苎麻>>梭织类
苎麻提花格>>梭织类
苎麻棉>>梭织类
苎麻水洗布>>梭织类
荧光布>>梭织类
菠萝麻>>梭织类
蕾丝刺毛>>蕾丝/绣品
蕾丝珠片绣>>蕾丝/绣品
薄料牛仔>>梭织类
蚀毛面料>>针织类
蜈蚣纱>>梭织类
蜡染布>>梭织类
裙子布料>>针织类
记忆消光布>>梭织类
象皮绒>>针织类
贡缎印花>>梭织类
贾卡>>蕾丝/绣品
超柔复合>>针织类
超细旦>>梭织类
超细纤维布>>梭织类
轻盈纺>>梭织类
退色球>>针织类
透明条>>针织类
速干面料>>针织类
里布>>梭织类
金奥呢>>梭织类
金感记忆布>>梭织类
金狐绒>>针织类
金银丝色织>>梭织类
针织刺毛>>针织类
针织卫衣布>>针织类
针织压皱>>针织类
针织双层布>>针织类
针织拉绒>>针织类
针织泡泡麻>>针织类
针织灯芯绒>>针织类
针织烂花>>针织类
针织牙签条>>针织类
针织牛百叶>>针织类
针织破洞>>针织类
针织磨毛印花>>针织类
针织绗绣面料>>针织类
针织羊绒>>针织类
针织蜂窝>>针织类
针织里布>>针织类
针织钩编>>针织类
针织阳离子>>针织类
针织韩国麻>>针织类
钩编花边>>蕾丝/绣品
钻石丝>>针织类
钻石麻>>梭织类
铜氨丝>>针织类
铜氨人丝>>梭织类
铜氨针织>>针织类
银丝皱>>梭织类
锦棉双层>>梭织类
锦棉竹节>>梭织类
锦涤磨丝>>梭织类
锦涤纺>>梭织类
锦纶四面弹复合>>梭织类
锦纶布>>梭织类
锦缎提花>>梭织类
防水牛津布>>梭织类
防水透气面料>>梭织类
防水面料>>梭织类
防绒布>>梭织类
防臭面料>>针织类
防雨布>>梭织类
防静电面料>>梭织类
防静电面料>>针织类
阳离子>>梭织类
阳离子提花>>梭织类
阳离子汗布>>针织类
阻燃面料>>梭织类
阿尔泰绒>>针织类
雪丝绒>>针织类
雪来呢>>梭织类
雪纺剪花>>梭织类
雪纺压皱>>梭织类
雪纺提花>>梭织类
雪纺珠>>梭织类
雪纺绉>>梭织类
雪花绒卫衣>>针织类
青年布>>梭织类
韩国斜>>梭织类
韩国纱>>针织类
韩国纱>>梭织类
韩国雕花>>针织类
韩圈呢>>针织类
韩彩呢>>针织类
韩泰呢>>针织类
韩珠呢>>针织类
韩鑫呢>>针织类
顺毛>>梭织类
顺纡皱>>梭织类
香奈儿>>梭织类
香风>>梭织类
马海绒>>针织类
驼绒>>梭织类
高丝宝>>梭织类
高丽纱>>梭织类
高丽纱印花>>梭织类
高密仿天丝>>梭织类
高密仿真丝>>梭织类
高密府绸>>梭织类
高密斜>>梭织类
高密斜仿天丝>>梭织类
高密春亚纺>>梭织类
高弹赛络纺>>梭织类
麦呢>>梭织类
麻料色织>>梭织类
齐乐绒>>梭织类
